id,title,doi,publication_year,authors,abstract,open_access,host_venue,clean_abstract,keywords,entities,gmm_cluster,gmm_probs
https://openalex.org/W4221143046,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,https://doi.org/10.48550/arxiv.2201.11903,2022,"Jason Lee, Xuezhi Wang, Dale Schuurmans, Maarten Bosma, Ed H., Quoc V. Le, Denny Zhou","We explore how generating a chain of thought -- a series of intermediate reasoning steps -- significantly improves the ability of large language models to perform complex reasoning. In particular, we show how such reasoning abilities emerge naturally in sufficiently large language models via a simple method called chain of thought prompting, where a few chain of thought demonstrations are provided as exemplars in prompting. Experiments on three large language models show that chain of thought prompting improves performance on a range of arithmetic, commonsense, and symbolic reasoning tasks. The empirical gains can be striking. For instance, prompting a 540B-parameter language model with just eight chain of thought exemplars achieves state of the art accuracy on the GSM8K benchmark of math word problems, surpassing even finetuned GPT-3 with a verifier.",True,,we explore how generating a chain of thought  a series of intermediate reasoning steps  significantly improves the ability of large language models to perform complex reasoning in particular we show how such reasoning abilities emerge naturally in sufficiently large language models via a simple method called chain of thought prompting where a few chain of thought demonstrations are provided as exemplars in prompting experiments on three large language models show that chain of thought prompting improves performance on a range of arithmetic commonsense and symbolic reasoning tasks the empirical gains can be striking for instance prompting a 540bparameter language model with just eight chain of thought exemplars achieves state of the art accuracy on the gsm8k benchmark of math word problems surpassing even finetuned gpt3 with a verifier,"['reasoning abilities', 'reasoning tasks', 'intermediate reasoning', 'thought prompting', 'prompting improves']","['models', 'model', 'gsm8k benchmark', 'arithmetic commonsense', 'performance', 'instance', 'demonstrations', 'art accuracy', 'prompting', 'symbolic', 'reasoning', 'gpt3', 'math word', 'empirical gains', 'complex', 'experiments', 'abilities', 'chain of thought', 'language', 'intermediate reasoning']",1,"[0.0, 1.0, 0.0, 0.0, 0.0]"
https://openalex.org/W3168867926,LoRA: Low-Rank Adaptation of Large Language Models,https://doi.org/10.48550/arxiv.2106.09685,2021,"J. Edward Hu, Yelong Shen, Phillip Wallis, Zeyuan Allen-Zhu, Yuanzhi Li, Shean Wang, Weizhu Chen","An important paradigm of natural language processing consists of large-scale pre-training on general domain data and adaptation to particular tasks or domains. As we pre-train larger models, full fine-tuning, which retrains all model parameters, becomes less feasible. Using GPT-3 175B as an example -- deploying independent instances of fine-tuned models, each with 175B parameters, is prohibitively expensive. We propose Low-Rank Adaptation, or LoRA, which freezes the pre-trained model weights and injects trainable rank decomposition matrices into each layer of the Transformer architecture, greatly reducing the number of trainable parameters for downstream tasks. Compared to GPT-3 175B fine-tuned with Adam, LoRA can reduce the number of trainable parameters by 10,000 times and the GPU memory requirement by 3 times. LoRA performs on-par or better than fine-tuning in model quality on RoBERTa, DeBERTa, GPT-2, and GPT-3, despite having fewer trainable parameters, a higher training throughput, and, unlike adapters, no additional inference latency. We also provide an empirical investigation into rank-deficiency in language model adaptation, which sheds light on the efficacy of LoRA. We release a package that facilitates the integration of LoRA with PyTorch models and provide our implementations and model checkpoints for RoBERTa, DeBERTa, and GPT-2 at https://github.com/microsoft/LoRA.",True,,an important paradigm of natural language processing consists of largescale pretraining on general domain data and adaptation to particular tasks or domains as we pretrain larger models full finetuning which retrains all model parameters becomes less feasible using gpt3 175b as an example  deploying independent instances of finetuned models each with 175b parameters is prohibitively expensive we propose lowrank adaptation or lora which freezes the pretrained model weights and injects trainable rank decomposition matrices into each layer of the transformer architecture greatly reducing the number of trainable parameters for downstream tasks compared to gpt3 175b finetuned with adam lora can reduce the number of trainable parameters by 10000 times and the gpu memory requirement by 3 times lora performs onpar or better than finetuning in model quality on roberta deberta gpt2 and gpt3 despite having fewer trainable parameters a higher training throughput and unlike adapters no additional inference latency we also provide an empirical investigation into rankdeficiency in language model adaptation which sheds light on the efficacy of lora we release a package that facilitates the integration of lora with pytorch models and provide our implementations and model checkpoints for roberta deberta and gpt2 at httpsgithubcommicrosoftlora,"['rankdeficiency language', 'lowrank adaptation', 'training throughput', 'model adaptation', 'pretrained model']","['gpt2', 'times', 'rankdeficiency', 'reducing', 'expensive', 'models', 'finetuning', 'model', 'deploying', 'decomposition', 'gpt3 175b', 'rank', 'adam lora', 'implementations', 'requirement', 'natural language', 'adapters', 'layer', 'trainable', 'empirical', 'finetuned', 'parameters', 'paradigm', 'training', 'integration', 'gpt3', 'largescale', 'downstream', 'tasks', 'gpu', 'lowrank adaptation', 'memory', 'general domain', 'pretrain larger', 'efficacy', 'investigation', 'roberta deberta', 'data', 'architecture', 'language', 'package', 'lora', 'adaptation', 'domains', 'transformer']",2,"[0.0, 0.0, 1.0, 0.0, 0.0]"
https://openalex.org/W4319662928,Performance of ChatGPT on USMLE: Potential for AI-assisted medical education using large language models,https://doi.org/10.1371/journal.pdig.0000198,2023,"Tiffany H. Kung, Morgan Cheatham, Arielle Medenilla, Czarina Sillos, Lorie De Leon, Camille Elepaño, Maria Madriaga, Rimel Aggabao, Giezel Diaz-Candido, James Maningo, Victor Tseng","We evaluated the performance of a large language model called ChatGPT on the United States Medical Licensing Exam (USMLE), which consists of three exams: Step 1, Step 2CK, and Step 3. ChatGPT performed at or near the passing threshold for all three exams without any specialized training or reinforcement. Additionally, ChatGPT demonstrated a high level of concordance and insight in its explanations. These results suggest that large language models may have the potential to assist with medical education, and potentially, clinical decision-making.",True,,we evaluated the performance of a large language model called chatgpt on the united states medical licensing exam usmle which consists of three exams step 1 step 2ck and step 3 chatgpt performed at or near the passing threshold for all three exams without any specialized training or reinforcement additionally chatgpt demonstrated a high level of concordance and insight in its explanations these results suggest that large language models may have the potential to assist with medical education and potentially clinical decisionmaking,"['clinical decisionmaking', 'medical licensing', 'exam usmle', 'medical education', 'licensing exam']","['model', 'models', 'explanations', 'concordance', 'level', 'reinforcement', 'performance', 'threshold', 'training', 'chatgpt', 'medical licensing', 'results', 'assist', 'exams', 'potential', 'united states', 'evaluated', 'medical education', 'specialized', 'clinical decisionmaking', 'language']",3,"[0.0, 0.0, 0.0, 1.0, 0.0]"
https://openalex.org/W4384071683,Large language models encode clinical knowledge,https://doi.org/10.1038/s41586-023-06291-2,2023,"Karan Singhal, Shekoofeh Azizi, Tao Tu, S. Sara Mahdavi, Jason Lee, Hyung Won Chung, Nathan Scales, Ajay Kumar Tanwani, Heather Cole-Lewis, Stephen Pfohl, Perry W. Payne, Martin Seneviratne, Paul Gamble, Christopher Kelly, Abubakr Babiker, Nathanael Schärli, Aakanksha Chowdhery, P. Mansfield, Dina Demner‐Fushman, Blaise Agüera y Arcas, Dale R. Webster, Greg S. Corrado, Yossi Matias, Katherine Chou, Juraj Gottweis, Nenad Tomašev, Yun Liu, Alvin Rajkomar, Joëlle Barral, Christopher Semturs, Alan Karthikesalingam, Vivek Natarajan","Abstract Large language models (LLMs) have demonstrated impressive capabilities, but the bar for clinical applications is high. Attempts to assess the clinical knowledge of models typically rely on automated evaluations based on limited benchmarks. Here, to address these limitations, we present MultiMedQA, a benchmark combining six existing medical question answering datasets spanning professional medicine, research and consumer queries and a new dataset of medical questions searched online, HealthSearchQA. We propose a human evaluation framework for model answers along multiple axes including factuality, comprehension, reasoning, possible harm and bias. In addition, we evaluate Pathways Language Model 1 (PaLM, a 540-billion parameter LLM) and its instruction-tuned variant, Flan-PaLM 2 on MultiMedQA. Using a combination of prompting strategies, Flan-PaLM achieves state-of-the-art accuracy on every MultiMedQA multiple-choice dataset (MedQA 3 , MedMCQA 4 , PubMedQA 5 and Measuring Massive Multitask Language Understanding (MMLU) clinical topics 6 ), including 67.6% accuracy on MedQA (US Medical Licensing Exam-style questions), surpassing the prior state of the art by more than 17%. However, human evaluation reveals key gaps. To resolve this, we introduce instruction prompt tuning, a parameter-efficient approach for aligning LLMs to new domains using a few exemplars. The resulting model, Med-PaLM, performs encouragingly, but remains inferior to clinicians. We show that comprehension, knowledge recall and reasoning improve with model scale and instruction prompt tuning, suggesting the potential utility of LLMs in medicine. Our human evaluations reveal limitations of today’s models, reinforcing the importance of both evaluation frameworks and method development in creating safe, helpful LLMs for clinical applications.",True,,abstract large language models llms have demonstrated impressive capabilities but the bar for clinical applications is high attempts to assess the clinical knowledge of models typically rely on automated evaluations based on limited benchmarks here to address these limitations we present multimedqa a benchmark combining six existing medical question answering datasets spanning professional medicine research and consumer queries and a new dataset of medical questions searched online healthsearchqa we propose a human evaluation framework for model answers along multiple axes including factuality comprehension reasoning possible harm and bias in addition we evaluate pathways language model 1 palm a 540billion parameter llm and its instructiontuned variant flanpalm 2 on multimedqa using a combination of prompting strategies flanpalm achieves stateoftheart accuracy on every multimedqa multiplechoice dataset medqa 3  medmcqa 4  pubmedqa 5 and measuring massive multitask language understanding mmlu clinical topics 6  including 676 accuracy on medqa us medical licensing examstyle questions surpassing the prior state of the art by more than 17 however human evaluation reveals key gaps to resolve this we introduce instruction prompt tuning a parameterefficient approach for aligning llms to new domains using a few exemplars the resulting model medpalm performs encouragingly but remains inferior to clinicians we show that comprehension knowledge recall and reasoning improve with model scale and instruction prompt tuning suggesting the potential utility of llms in medicine our human evaluations reveal limitations of todays models reinforcing the importance of both evaluation frameworks and method development in creating safe helpful llms for clinical applications,"['question answering', 'language models', 'knowledge recall', 'model answers', 'answering datasets']","['mmlu', 'multimedqa', 'variant', 'accuracy', 'medical question', 'models', 'evaluations', 'palm', 'limitations', 'datasets', 'bias', 'instruction', 'research', 'comprehension', 'todays models', 'dataset', 'medqa', 'measuring', 'factuality', 'medicine', 'evaluation', 'human', 'bar', 'prompting strategies flanpalm', 'abstract large language', '540billion parameter llm', 'model scale', 'combination', 'capabilities', 'medical questions', 'reasoning', 'model answers', 'potential', 'harm', 'clinical applications', 'queries', 'benchmarks', 'clinicians', 'professional medicine', 'pubmedqa 5', 'medical licensing examstyle questions', 'model medpalm', 'llms', 'parameterefficient approach', 'pathways language', 'method development', 'improve', 'consumer', 'knowledge', 'massive', 'multiple axes', 'impressive', 'automated', 'evaluate', 'clinical', 'domains', 'evaluation frameworks']",3,"[0.0, 0.0, 0.0, 1.0, 0.0]"
https://openalex.org/W3177813494,Evaluating Large Language Models Trained on Code,https://doi.org/10.48550/arxiv.2107.03374,2021,"Mark Chen, Jerry Tworek, Heewoo Jun, Qiming Yuan, Henrique Pondé de Oliveira Pinto, Jared Kaplan, Harrison Edwards, Yuri Burda, Nicholas Joseph, Greg Brockman, Alex Ray, Raul Puri, Gretchen Krueger, Michael Petrov, Heidy Khlaaf, Girish Sastry, Pamela Mishkin, Brooke Chan, Scott Gray, Nick Ryder, Mikhail Pavlov, Alethea Power, Łukasz Kaiser, Mohammad Bavarian, Clemens Winter, Philippe Tillet, Felipe Petroski Such, Dave Cummings, Matthias Plappert, Fotios Chantzis, Elizabeth A. Barnes, Ariel Herbert-Voss, William H. Guss, Alex Nichol, Alex Paino, Nikolas Tezak, Jie Tang, I. Babuschkin, Suchir Balaji, Shantanu Jain, William S. Saunders, Christopher Hesse, Andrew N. Carr, Jan Leike, Joshua Achiam, Vedant Misra, Evan Morikawa, Alec Radford, Matthew M. Knight, Miles Brundage, Mira Murati, Katie Mayer, Peter Welinder, Bob McGrew, Dario Amodei, Sam McCandlish, Ilya Sutskever, Wojciech Zaremba","We introduce Codex, a GPT language model fine-tuned on publicly available code from GitHub, and study its Python code-writing capabilities. A distinct production version of Codex powers GitHub Copilot. On HumanEval, a new evaluation set we release to measure functional correctness for synthesizing programs from docstrings, our model solves 28.8% of the problems, while GPT-3 solves 0% and GPT-J solves 11.4%. Furthermore, we find that repeated sampling from the model is a surprisingly effective strategy for producing working solutions to difficult prompts. Using this method, we solve 70.2% of our problems with 100 samples per problem. Careful investigation of our model reveals its limitations, including difficulty with docstrings describing long chains of operations and with binding operations to variables. Finally, we discuss the potential broader impacts of deploying powerful code generation technologies, covering safety, security, and economics.",True,,we introduce codex a gpt language model finetuned on publicly available code from github and study its python codewriting capabilities a distinct production version of codex powers github copilot on humaneval a new evaluation set we release to measure functional correctness for synthesizing programs from docstrings our model solves 288 of the problems while gpt3 solves 0 and gptj solves 114 furthermore we find that repeated sampling from the model is a surprisingly effective strategy for producing working solutions to difficult prompts using this method we solve 702 of our problems with 100 samples per problem careful investigation of our model reveals its limitations including difficulty with docstrings describing long chains of operations and with binding operations to variables finally we discuss the potential broader impacts of deploying powerful code generation technologies covering safety security and economics,"['gpt language', 'code generation', 'python codewriting', 'synthesizing programs', 'github copilot']","['study', 'long chains', 'model', 'codex powers', 'limitations', 'deploying', 'measure', 'working solutions', 'difficulty', 'functional', 'evaluation', 'production', 'gptj', 'economics', 'prompts', 'capabilities', 'gpt3 solves', 'method', 'potential', 'docstrings', 'safety', 'effective', 'sampling', 'humaneval', 'github', 'investigation', 'impacts', 'gpt language', 'operations', 'security', 'variables', 'samples', 'python codewriting', 'binding operations', 'copilot', 'problems', 'code']",1,"[0.0, 1.0, 0.0, 0.0, 0.0]"
https://openalex.org/W4362515116,A Survey of Large Language Models,https://doi.org/10.48550/arxiv.2303.18223,2023,"Wayne Xin Zhao, Kun Zhou, Junyi Li, Tianyi Tang, Xiaolei Wang, Yupeng Hou, Yingqian Min, Beichen Zhang, Junjie Zhang, Zican Dong, Yifan Du, Yang Chen, Yushuo Chen, Zhipeng Chen, Jinhao Jiang, Ruiyang Ren, Yifan Li, Xinyu Tang, Zikang Liu, Peiyu Liu, Jian‐Yun Nie, Ji-Rong Wen","Language is essentially a complex, intricate system of human expressions governed by grammatical rules. It poses a significant challenge to develop capable AI algorithms for comprehending and grasping a language. As a major approach, language modeling has been widely studied for language understanding and generation in the past two decades, evolving from statistical language models to neural language models. Recently, pre-trained language models (PLMs) have been proposed by pre-training Transformer models over large-scale corpora, showing strong capabilities in solving various NLP tasks. Since researchers have found that model scaling can lead to performance improvement, they further study the scaling effect by increasing the model size to an even larger size. Interestingly, when the parameter scale exceeds a certain level, these enlarged language models not only achieve a significant performance improvement but also show some special abilities that are not present in small-scale language models. To discriminate the difference in parameter scale, the research community has coined the term large language models (LLM) for the PLMs of significant size. Recently, the research on LLMs has been largely advanced by both academia and industry, and a remarkable progress is the launch of ChatGPT, which has attracted widespread attention from society. The technical evolution of LLMs has been making an important impact on the entire AI community, which would revolutionize the way how we develop and use AI algorithms. In this survey, we review the recent advances of LLMs by introducing the background, key findings, and mainstream techniques. In particular, we focus on four major aspects of LLMs, namely pre-training, adaptation tuning, utilization, and capacity evaluation. Besides, we also summarize the available resources for developing LLMs and discuss the remaining issues for future directions.",True,,language is essentially a complex intricate system of human expressions governed by grammatical rules it poses a significant challenge to develop capable ai algorithms for comprehending and grasping a language as a major approach language modeling has been widely studied for language understanding and generation in the past two decades evolving from statistical language models to neural language models recently pretrained language models plms have been proposed by pretraining transformer models over largescale corpora showing strong capabilities in solving various nlp tasks since researchers have found that model scaling can lead to performance improvement they further study the scaling effect by increasing the model size to an even larger size interestingly when the parameter scale exceeds a certain level these enlarged language models not only achieve a significant performance improvement but also show some special abilities that are not present in smallscale language models to discriminate the difference in parameter scale the research community has coined the term large language models llm for the plms of significant size recently the research on llms has been largely advanced by both academia and industry and a remarkable progress is the launch of chatgpt which has attracted widespread attention from society the technical evolution of llms has been making an important impact on the entire ai community which would revolutionize the way how we develop and use ai algorithms in this survey we review the recent advances of llms by introducing the background key findings and mainstream techniques in particular we focus on four major aspects of llms namely pretraining adaptation tuning utilization and capacity evaluation besides we also summarize the available resources for developing llms and discuss the remaining issues for future directions,"['language models', 'large language', 'language modeling', 'smallscale language', 'enlarged language']","['improvement', 'study', 'coined', 'findings', 'directions', 'models', 'expressions', 'model', 'parameter scale', 'research', 'adaptation', 'discriminate', 'community', 'level', 'performance', 'impact', 'enlarged', 'smallscale', 'evaluation', 'human', 'comprehending', 'capacity', 'significant', 'capabilities', 'largescale corpora', 'grasping', 'chatgpt', 'plms', 'grammatical rules', 'launch', 'neural language', 'tasks', 'survey', 'evolution', 'modeling', 'generation', 'nlp', 'decades', 'progress', 'complex', 'evolving', 'significant size', 'pretraining', 'llms', 'utilization', 'statistical language', 'mainstream techniques', 'technical', 'industry', 'researchers', 'society', 'abilities', 'academia', 'size', 'transformer models', 'scaling', 'scaling effect', 'resources', 'language', 'increasing', 'algorithms']",2,"[0.0, 0.0, 1.0, 0.0, 0.0]"
https://openalex.org/W4283026156,Emergent Abilities of Large Language Models,https://doi.org/10.48550/arxiv.2206.07682,2022,"Jason Lee, Yi Tay, Rishi Bommasani, Colin Raffel, Barret Zoph, Sebastian Borgeaud, Dani Yogatama, Maarten Bosma, Denny Zhou, Donald Metzler, Ed H., Tatsunori Hashimoto, Oriol Vinyals, Percy Liang, Jeff Dean, William Fedus","Scaling up language models has been shown to predictably improve performance and sample efficiency on a wide range of downstream tasks. This paper instead discusses an unpredictable phenomenon that we refer to as emergent abilities of large language models. We consider an ability to be emergent if it is not present in smaller models but is present in larger models. Thus, emergent abilities cannot be predicted simply by extrapolating the performance of smaller models. The existence of such emergence implies that additional scaling could further expand the range of capabilities of language models.",True,,scaling up language models has been shown to predictably improve performance and sample efficiency on a wide range of downstream tasks this paper instead discusses an unpredictable phenomenon that we refer to as emergent abilities of large language models we consider an ability to be emergent if it is not present in smaller models but is present in larger models thus emergent abilities cannot be predicted simply by extrapolating the performance of smaller models the existence of such emergence implies that additional scaling could further expand the range of capabilities of language models,"['scaling language', 'large language', 'language models', 'models emergent', 'larger models']","['unpredictable', 'models', 'implies', 'larger', 'performance', 'emergence', 'efficiency', 'predicted', 'capabilities', 'language models', 'downstream', 'emergent', 'sample', 'phenomenon', 'improve', 'abilities', 'scaling', 'language', 'existence', 'smaller']",2,"[0.0, 0.0, 1.0, 0.0, 0.0]"
https://openalex.org/W4281557260,Large Language Models are Zero-Shot Reasoners,https://doi.org/10.48550/arxiv.2205.11916,2022,"Takeshi Kojima, Shixiang Gu, Machel Reid, Yutaka Matsuo, Yusuke Iwasawa","Pretrained large language models (LLMs) are widely used in many sub-fields of natural language processing (NLP) and generally known as excellent few-shot learners with task-specific exemplars. Notably, chain of thought (CoT) prompting, a recent technique for eliciting complex multi-step reasoning through step-by-step answer examples, achieved the state-of-the-art performances in arithmetics and symbolic reasoning, difficult system-2 tasks that do not follow the standard scaling laws for LLMs. While these successes are often attributed to LLMs' ability for few-shot learning, we show that LLMs are decent zero-shot reasoners by simply adding ""Let's think step by step"" before each answer. Experimental results demonstrate that our Zero-shot-CoT, using the same single prompt template, significantly outperforms zero-shot LLM performances on diverse benchmark reasoning tasks including arithmetics (MultiArith, GSM8K, AQUA-RAT, SVAMP), symbolic reasoning (Last Letter, Coin Flip), and other logical reasoning tasks (Date Understanding, Tracking Shuffled Objects), without any hand-crafted few-shot examples, e.g. increasing the accuracy on MultiArith from 17.7% to 78.7% and GSM8K from 10.4% to 40.7% with large InstructGPT model (text-davinci-002), as well as similar magnitudes of improvements with another off-the-shelf large model, 540B parameter PaLM. The versatility of this single prompt across very diverse reasoning tasks hints at untapped and understudied fundamental zero-shot capabilities of LLMs, suggesting high-level, multi-task broad cognitive capabilities may be extracted by simple prompting. We hope our work not only serves as the minimal strongest zero-shot baseline for the challenging reasoning benchmarks, but also highlights the importance of carefully exploring and analyzing the enormous zero-shot knowledge hidden inside LLMs before crafting finetuning datasets or few-shot exemplars.",True,,pretrained large language models llms are widely used in many subfields of natural language processing nlp and generally known as excellent fewshot learners with taskspecific exemplars notably chain of thought cot prompting a recent technique for eliciting complex multistep reasoning through stepbystep answer examples achieved the stateoftheart performances in arithmetics and symbolic reasoning difficult system2 tasks that do not follow the standard scaling laws for llms while these successes are often attributed to llms ability for fewshot learning we show that llms are decent zeroshot reasoners by simply adding lets think step by step before each answer experimental results demonstrate that our zeroshotcot using the same single prompt template significantly outperforms zeroshot llm performances on diverse benchmark reasoning tasks including arithmetics multiarith gsm8k aquarat svamp symbolic reasoning last letter coin flip and other logical reasoning tasks date understanding tracking shuffled objects without any handcrafted fewshot examples eg increasing the accuracy on multiarith from 177 to 787 and gsm8k from 104 to 407 with large instructgpt model textdavinci002 as well as similar magnitudes of improvements with another offtheshelf large model 540b parameter palm the versatility of this single prompt across very diverse reasoning tasks hints at untapped and understudied fundamental zeroshot capabilities of llms suggesting highlevel multitask broad cognitive capabilities may be extracted by simple prompting we hope our work not only serves as the minimal strongest zeroshot baseline for the challenging reasoning benchmarks but also highlights the importance of carefully exploring and analyzing the enormous zeroshot knowledge hidden inside llms before crafting finetuning datasets or fewshot exemplars,"['reasoning benchmarks', 'zeroshot reasoners', 'reasoning tasks', 'learning llms', 'fewshot learning']","['system2', 'hidden', 'accuracy', 'diverse', 'models', 'model', 'instructgpt model', 'reasoning tasks', 'palm', 'zeroshot', 'magnitudes', 'multitask broad', 'baseline', 'fewshot learning', 'natural language', 'standard', 'zeroshot llm', 'untapped', 'fewshot', 'zeroshotcot', 'fewshot learners', 'outperforms', 'logical reasoning tasks', 'capabilities', 'successes', 'cot', 'symbolic', 'decent', 'prompting', 'multiarith', 'zeroshot reasoners', 'versatility', 'benchmark reasoning tasks', 'arithmetics', 'complex', 'fewshot examples', 'reasoning benchmarks', 'coin flip', 'llms', 'technique', 'parameter', 'finetuning datasets', 'processing nlp', 'hints', 'gsm8k aquarat', 'tracking shuffled objects', 'scaling', 'template', 'gsm8k', 'fundamental', 'enormous', 'language', 'cognitive', 'performances', 'improvements', 'increasing', 'highlevel', 'minimal']",4,"[0.0, 0.0, 0.0, 0.0, 1.0]"
https://openalex.org/W2109664771,Large Language Models in Machine Translation,,2007,"Thorsten Brants, Ashok C. Popat, Peng Xu, Franz Josef Och, Jay B. Dean","Systems, methods, and computer program products for machine translation are provided. In some implementations a system is provided. The system includes a language model including a collection of n-grams from a corpus, each n-gram having a corresponding relative frequency in the corpus and an order n corresponding to a number of tokens in the n-gram, each n-gram corresponding to a backoff n-gram having an order of n-1 and a collection of backoff scores, each backoff score associated with an n-gram, the backoff score determined as a function of a backoff factor and a relative frequency of a corresponding backoff n-gram in the corpus.",False,,systems methods and computer program products for machine translation are provided in some implementations a system is provided the system includes a language model including a collection of ngrams from a corpus each ngram having a corresponding relative frequency in the corpus and an order n corresponding to a number of tokens in the ngram each ngram corresponding to a backoff ngram having an order of n1 and a collection of backoff scores each backoff score associated with an ngram the backoff score determined as a function of a backoff factor and a relative frequency of a corresponding backoff ngram in the corpus,"['machine translation', 'ngrams corpus', 'ngram corpus', 'corpus ngram', 'language model']","['tokens', 'system', 'systems methods', 'model', 'function', 'backoff', 'collection', 'ngrams', 'frequency', 'machine translation', 'ngram', 'backoff scores', 'language', 'associated with', 'backoff score', 'backoff factor', 'corpus', 'computer program products']",2,"[0.0, 0.0, 1.0, 0.0, 0.0]"
https://openalex.org/W4391136507,A Survey on Evaluation of Large Language Models,https://doi.org/10.1145/3641289,2024,"Yupeng Chang, Xu Wang, Jindong Wang, Yuan Wu, Linyi Yang, Kaijie Zhu, Hao Chen, Xiaoyuan Yi, Cunxiang Wang, Yidong Wang, Wei Ye, Yue Zhang, Yi Chang, Philip S. Yu, Qiang Yang, Xing Xie","Large language models (LLMs) are gaining increasing popularity in both academia and industry, owing to their unprecedented performance in various applications. As LLMs continue to play a vital role in both research and daily use, their evaluation becomes increasingly critical, not only at the task level, but also at the society level for better understanding of their potential risks. Over the past years, significant efforts have been made to examine LLMs from various perspectives. This paper presents a comprehensive review of these evaluation methods for LLMs, focusing on three key dimensions: what to evaluate , where to evaluate , and how to evaluate . Firstly, we provide an overview from the perspective of evaluation tasks, encompassing general natural language processing tasks, reasoning, medical usage, ethics, education, natural and social sciences, agent applications, and other areas. Secondly, we answer the ‘where’ and ‘how’ questions by diving into the evaluation methods and benchmarks, which serve as crucial components in assessing the performance of LLMs. Then, we summarize the success and failure cases of LLMs in different tasks. Finally, we shed light on several future challenges that lie ahead in LLMs evaluation. Our aim is to offer invaluable insights to researchers in the realm of LLMs evaluation, thereby aiding the development of more proficient LLMs. Our key point is that evaluation should be treated as an essential discipline to better assist the development of LLMs. We consistently maintain the related open-source materials at: https://github.com/MLGroupJLU/LLM-eval-survey",True,,large language models llms are gaining increasing popularity in both academia and industry owing to their unprecedented performance in various applications as llms continue to play a vital role in both research and daily use their evaluation becomes increasingly critical not only at the task level but also at the society level for better understanding of their potential risks over the past years significant efforts have been made to examine llms from various perspectives this paper presents a comprehensive review of these evaluation methods for llms focusing on three key dimensions what to evaluate  where to evaluate  and how to evaluate  firstly we provide an overview from the perspective of evaluation tasks encompassing general natural language processing tasks reasoning medical usage ethics education natural and social sciences agent applications and other areas secondly we answer the where and how questions by diving into the evaluation methods and benchmarks which serve as crucial components in assessing the performance of llms then we summarize the success and failure cases of llms in different tasks finally we shed light on several future challenges that lie ahead in llms evaluation our aim is to offer invaluable insights to researchers in the realm of llms evaluation thereby aiding the development of more proficient llms our key point is that evaluation should be treated as an essential discipline to better assist the development of llms we consistently maintain the related opensource materials at httpsgithubcommlgroupjlullmevalsurvey,"['llms evaluation', 'llms summarize', 'evaluation increasingly', 'evaluation tasks', 'evaluation aiding']","['evaluation methods', 'development', 'opensource materials', 'models', 'unprecedented', 'risks', 'popularity', 'research', 'agent', 'level', 'comprehensive', 'performance', 'httpsgithubcommlgroupjlullmevalsurvey', 'questions', 'evaluation', 'daily', 'general natural language', 'perspective', 'proficient', 'components', 'cases', 'assist', 'success', 'tasks', 'applications', 'potential', 'medical usage', 'natural', 'social sciences', 'benchmarks', 'dimensions', 'task', 'failure', 'overview', 'llms', 'realm', 'discipline', 'industry', 'society', 'researchers', 'academia', 'evaluate', 'treated', 'diving', 'language', 'review']",4,"[0.0, 0.0, 0.0, 0.0, 1.0]"
